Project,Method,ReleaseID,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,DistinctOperands,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,Buggy
avro,"void main(String[])",main,37,24,2,1,1,29,1,52,30.0,53.0,260.0652015672515,0.896551724137931,233.1619048533979,1,0,0,0,0,no
avro,"void main(String[])",main,39,22,2,1,1,32,1,48,33.0,49.0,247.1753118485642,0.75,185.38148388642315,1,0,0,0,0,no
avro,"void map(LongWritable, Text, OutputCollector<Text, IntWritable>, Reporter)",main,9,7,2,1,0,11,0,13,11.0,13.0,44.97261104228487,0.0,0.0,1,0,0,0,0,no
avro,"void reduce(Text, Iterator<IntWritable>, OutputCollector<AvroWrapper<Pair<CharSequence, Integer>>, NullWritable>, Reporter)",main,11,6,2,1,1,11,1,14,12.0,15.0,53.77443751081735,0.6363636363636364,34.22009659779286,1,0,0,0,0,no
avro,"int run(String[])",main,29,18,2,1,2,29,2,46,31.0,48.0,237.80142289857002,1.5862068965517242,377.20225701152486,1,0,0,0,0,no
avro,"void main(String[])",main,4,3,1,0,0,6,0,6,6.0,6.0,15.509775004326936,0.0,0.0,0,0,0,0,0,no
avro,"void main(String[])",main,21,16,3,2,4,21,4,31,25.0,35.0,162.53496664211536,2.9523809523809526,479.86513961005494,1,0,0,0,0,no
avro,"void map(LongWritable, Text, Context)",main,9,7,2,1,0,11,0,13,11.0,13.0,44.97261104228487,0.0,0.0,1,0,0,0,0,no
avro,"void reduce(Text, Iterable<IntWritable>, Context)",main,11,6,1,0,1,10,1,12,11.0,13.0,44.97261104228487,0.6,26.98356662537092,0,0,0,0,0,no
avro,"int run(String[])",main,33,20,2,1,2,32,2,51,34.0,53.0,269.63553058626803,1.59375,429.7316268718647,1,0,0,0,0,no
avro,"void main(String[])",main,5,3,1,0,0,6,0,6,6.0,6.0,15.509775004326936,0.0,0.0,0,0,0,0,0,no
avro,"void map(AvroKey<User>, NullWritable, Context)",main,10,6,2,1,2,10,2,12,12.0,14.0,50.18947501009619,1.2,60.22737001211542,1,0,0,0,0,no
avro,"void reduce(Text, Iterable<IntWritable>, Context)",main,10,6,1,0,1,9,1,10,10.0,11.0,36.541209043760986,0.5555555555555556,20.300671690978326,0,0,0,0,0,no
avro,"int run(String[])",main,26,20,3,1,2,32,2,56,34.0,58.0,295.07284479251973,1.75,516.3774783869095,1,0,0,0,0,no
avro,"void main(String[])",main,4,3,1,0,0,6,0,6,6.0,6.0,15.509775004326936,0.0,0.0,0,0,0,0,0,no
avro,"void map(User, AvroCollector<Pair<CharSequence, Integer>>, Reporter)",main,10,6,2,1,2,8,2,10,10.0,12.0,39.863137138648355,1.25,49.82892142331045,1,0,0,0,0,no
avro,"void reduce(CharSequence, Iterable<Integer>, AvroCollector<Pair<CharSequence, Integer>>, Reporter)",main,11,6,1,0,1,7,1,8,8.0,9.0,27.0,0.5714285714285714,15.428571428571427,0,0,0,0,0,no
avro,"int run(String[])",main,25,15,2,1,2,29,2,46,31.0,48.0,237.80142289857002,1.5862068965517242,377.20225701152486,1,0,0,0,0,no
avro,"void main(String[])",main,4,3,1,0,0,6,0,6,6.0,6.0,15.509775004326936,0.0,0.0,0,0,0,0,0,no
avro,"R apply(Class<?>)",main,4,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,no
