Project,Method,ReleaseID,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,DistinctOperands,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,Buggy
bookkeeper,"void writeComplete(int, long, long, BookieId, Object)",master,9,6,2,1,3,8,3,9,11.0,12.0,41.51317942364757,1.6875,70.05349027740527,1,0,0,0,0,yes
bookkeeper,"void resetComplete()",master,3,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,yes
bookkeeper,"void waitForComplete()",master,5,4,2,1,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,1,0,0,0,0,yes
bookkeeper,"void writeComplete(int, long, long, BookieId, Object)",master,11,8,3,2,4,8,4,10,12.0,14.0,50.18947501009619,2.5,125.47368752524048,1,0,0,0,0,yes
bookkeeper,"void waitFor(int)",master,7,6,2,1,2,5,3,7,7.0,10.0,28.07354922057604,1.4,39.302968908806456,1,0,0,0,0,yes
bookkeeper,"long getValidLedgerId(String)",master,20,17,3,2,2,12,5,24,14.0,29.0,110.41329273967051,2.0,220.82658547934102,1,0,0,0,0,yes
bookkeeper,"void main(String[])",master,114,89,6,5,9,110,25,291,119.0,316.0,2178.76241320531,11.904545454545454,25937.17618265776,1,1,0,0,0,yes
bookkeeper,"int compare(String, String)",master,15,12,2,1,2,12,2,26,14.0,28.0,106.6059378176129,2.1666666666666665,230.97953193816127,1,0,0,0,0,yes
bookkeeper,"void readLedger(ClientConfiguration, long, byte[], int)",master,74,68,10,9,11,54,27,118,65.0,145.0,873.2433328891259,12.018518518518519,10495.091167500792,4,1,0,0,0,yes
bookkeeper,"void usage(Options)",master,4,3,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,0,0,0,yes
bookkeeper,"void main(String[])",master,144,122,19,18,8,124,20,310,132.0,330.0,2324.6500593882897,10.0,23246.500593882898,4,1,0,0,0,yes
bookkeeper,"void process(WatchedEvent)",master,50,45,8,7,4,46,5,76,50.0,81.0,457.1523513717527,3.3043478260869565,1510.5903784457914,4,0,0,0,0,yes
bookkeeper,"void run()",master,4,2,1,0,0,5,0,5,5.0,5.0,11.60964047443681,0.0,0.0,0,0,0,0,0,yes
bookkeeper,"void close()",master,8,7,3,2,3,7,3,12,10.0,15.0,49.82892142331044,2.571428571428571,128.1315122313697,2,0,0,0,0,yes
bookkeeper,"void setEntryData(byte[])",master,3,2,1,0,1,2,1,2,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0,0,0,0,0,yes
bookkeeper,"int getRandomLedger()",master,3,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,yes
bookkeeper,"long getDuration()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,yes
bookkeeper,"void run()",master,75,65,7,6,11,54,25,115,65.0,140.0,843.1314938239836,11.712962962962964,9875.567960067958,2,1,0,0,0,yes
bookkeeper,"void run()",master,12,10,2,1,0,15,0,18,15.0,18.0,70.32403072095333,0.0,0.0,1,0,0,0,0,yes
bookkeeper,"long getThroughput()",master,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,yes
bookkeeper,"void addComplete(int, LedgerHandle, long, Object)",master,17,10,2,1,3,15,4,17,18.0,21.0,87.56842503028855,1.7,148.86632255149053,1,0,0,0,0,yes
bookkeeper,"void main(String[])",master,187,134,16,15,12,181,63,431,193.0,494.0,3750.673776410432,14.287292817679557,53586.974507167826,3,1,0,0,0,yes
bookkeeper,"void run()",master,5,3,1,0,2,7,3,8,9.0,11.0,34.86917501586544,1.1428571428571428,39.85048573241764,0,0,0,0,0,yes
bookkeeper,"void process(WatchedEvent)",master,6,4,2,1,1,5,1,5,6.0,6.0,15.509775004326936,0.5,7.754887502163468,1,0,0,0,0,yes
bookkeeper,"void process(WatchedEvent)",master,6,4,2,1,1,5,1,5,6.0,6.0,15.509775004326936,0.5,7.754887502163468,1,0,0,0,0,yes
bookkeeper,"double percentile(long[], int)",master,7,6,2,0,4,11,5,13,15.0,18.0,70.32403072095333,2.3636363636363638,166.22043624952607,0,0,0,0,0,yes
bookkeeper,"long warmUp(byte[], int, int, int, byte[], int, ClientConfiguration)",master,36,29,4,3,6,39,10,58,45.0,68.0,373.4460105504179,4.461538461538462,1666.1437393787876,1,0,0,0,0,yes
bookkeeper,"void process(WatchedEvent)",master,6,4,2,1,1,5,1,5,6.0,6.0,15.509775004326936,0.5,7.754887502163468,1,0,0,0,0,yes
bookkeeper,"void main(String[])",master,131,114,13,12,13,143,32,305,156.0,337.0,2455.1805477565777,13.863636363636363,34037.73032117073,3,1,0,0,0,yes
bookkeeper,"void run()",master,5,3,1,0,2,7,3,8,9.0,11.0,34.86917501586544,1.1428571428571428,39.85048573241764,0,0,0,0,0,yes
bookkeeper,"Long call()",master,26,21,2,1,5,27,6,41,32.0,47.0,235.0,3.7962962962962967,892.1296296296297,1,0,0,0,0,yes
bookkeeper,"Long call()",master,35,29,4,3,7,35,9,60,42.0,69.0,372.0699021717345,6.0,2232.4194130304068,2,0,0,0,0,yes
