Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,Touches,prevCodeSmells,prevBuggy,Buggy
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java/,"org.apache.hedwig.client.handlers.SubscribeReconnectCallback",release-4.0.0,73,24,7,3,3,27,11,46,30.0,57.0,279.69276394968557,2.5555555555555554,714.7703967603076,1,0,1,1,0,2,4,4,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java/,"org.apache.hedwig.server.proxy.ProxyUnsubscribeHandler",release-4.0.0,44,18,3,1,2,22,3,38,24.0,41.0,187.98346252956745,1.7272727272727273,324.6987080056165,1,0,0,1,1,0,2,1,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/,"org.apache.bookkeeper.client.LedgerHandle.NoopCloseCallback",release-4.0.0,11,4,2,1,2,8,2,9,10.0,11.0,36.541209043760986,1.125,41.10886017423111,1,0,0,1,0,1,2,12,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java/,"org.apache.hedwig.exceptions.PubSubException.TopicBusyException",release-4.0.0,5,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.UnsubscribeRequest.Builder",release-4.0.0,139,85,31,11,5,37,16,88,42.0,104.0,560.8010119689911,5.9459459459459465,3334.492503599407,3,0,1,1,0,2,4,2,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java/,"org.apache.hedwig.server.subscriptions.SubscriptionEventListener",release-4.0.0,31,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java/,"org.apache.hedwig.server.persistence.ScanCallback.ReasonForFinish",release-4.0.0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/,"org.apache.bookkeeper.meta.HierarchicalLedgerManager",release-4.0.0,436,167,31,14,5,142,49,386,147.0,435.0,3131.8574700038184,6.795774647887324,21283.397595448485,2,1,1,1,0,10,13,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java/,"org.apache.bookkeeper.conf.AbstractConfiguration",release-4.0.0,73,16,7,0,0,13,0,19,13.0,19.0,70.30835464468075,0.0,0.0,0,0,0,0,0,0,0,2,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java/,"org.apache.hedwig.server.delivery.FIFODeliveryManager.StopServingSubscriber",release-4.0.0,25,5,2,0,1,6,1,9,7.0,10.0,28.07354922057604,0.75,21.05516191543203,0,0,0,1,0,0,1,4,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java/,"org.apache.bookkeeper.client.BookieWatcher",release-4.0.0,156,72,15,5,6,57,12,91,63.0,103.0,615.6598321204914,4.7894736842105265,2948.686564366564,1,0,1,1,0,6,8,4,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java/,"org.apache.bookkeeper.proto.BookkeeperInternalCallbacks",release-4.0.0,95,0,0,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,2,2,3,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java/,"org.apache.bookkeeper.client.BKException.BKProtocolVersionException",release-4.0.0,5,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java/,"org.apache.hedwig.client.handlers.PublishResponseHandler",release-4.0.0,42,15,7,2,2,26,8,43,28.0,51.0,245.1751010249378,1.6538461538461537,405.48189784893555,1,0,1,1,1,1,4,4,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java/,"org.apache.hedwig.server.persistence.PersistenceManager",release-4.0.0,59,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java/,"org.apache.hedwig.client.netty.HedwigPublisher",release-4.0.0,184,87,21,15,7,73,25,195,80.0,220.0,1390.8241808752196,9.349315068493151,13003.253471881335,4,0,1,1,1,2,5,5,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder",release-4.0.0,203,135,48,18,5,54,25,152,59.0,177.0,1041.227819737046,7.037037037037037,7327.158731482917,3,0,1,1,0,2,4,2,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/,"org.apache.bookkeeper.client.BookKeeperAdmin.SyncObject",release-4.0.0,9,3,1,0,1,4,2,4,5.0,6.0,13.931568569324174,0.5,6.965784284662087,0,0,0,0,0,0,0,6,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java/,"org.apache.hedwig.exceptions.PubSubException.ClientNotSubscribedRuntimeException",release-4.0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java/,"org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.PersistOp",release-4.0.0,62,34,6,4,5,47,19,88,52.0,107.0,609.9470498410969,4.680851063829787,2855.071297128539,1,1,1,1,0,1,4,3,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java/,"org.apache.hedwig.client.handlers.SubscribeReconnectCallback.SubscribeReconnectRetryTask",release-4.0.0,11,5,2,1,1,10,1,13,11.0,14.0,48.43204266092217,0.65,31.48082772959941,1,0,0,1,0,0,1,4,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java/,"org.apache.hedwig.server.handlers.BaseHandler",release-4.0.0,34,13,4,1,2,19,3,31,21.0,34.0,149.33879237447786,1.631578947368421,243.65802966362176,1,0,0,1,0,0,1,2,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.ConsumeRequest",release-4.0.0,367,94,39,10,5,41,13,126,46.0,139.0,767.7751118919248,7.682926829268293,5898.7600059989345,1,0,1,1,0,3,5,2,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java/,"org.apache.hedwig.server.handlers.UnsubscribeHandler",release-4.0.0,40,18,3,1,2,25,3,40,27.0,43.0,204.46016259302917,1.6,327.1362601488467,1,0,0,1,1,0,2,2,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest",release-4.0.0,998,233,91,41,6,94,40,328,100.0,368.0,2444.939077837099,10.46808510638298,25593.83034672027,2,1,1,1,0,3,6,2,0,no,yes
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/util/Option.java/,"org.apache.hedwig.util.Option",release-4.0.0,24,9,5,0,1,1,1,3,2.0,4.0,4.0,1.5,6.0,0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/,"org.apache.bookkeeper.client.AsyncCallback.ReadCallback",release-4.0.0,17,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,5,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java/,"org.apache.hedwig.server.benchmark.BookieBenchmark",release-4.0.0,70,33,5,1,4,57,6,93,61.0,99.0,587.1429964187258,3.263157894736842,1915.9403041032106,1,0,0,1,0,0,1,5,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java/,"org.apache.hedwig.client.HedwigClient",release-4.0.0,39,10,5,0,1,8,2,15,9.0,17.0,53.88872502451932,0.9375,50.52067971048686,0,0,0,1,0,0,1,1,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java/,"org.apache.hedwig.protoextensions.PubSubResponseUtils",release-4.0.0,19,6,3,0,0,16,0,21,16.0,21.0,84.0,0.0,0.0,0,0,0,1,0,0,1,1,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/,"org.apache.bookkeeper.meta.AbstractZkLedgerManager.GetLedgersCtx",release-4.0.0,4,0,0,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,2,0,no,yes
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java/,"org.apache.hedwig.client.benchmark.BenchmarkUtils.BenchmarkCallback",release-4.0.0,28,12,4,0,2,12,3,20,14.0,23.0,87.56916320732489,1.6666666666666667,145.9486053455415,0,0,0,1,0,0,1,3,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java/,"org.apache.hedwig.client.exceptions.InvalidSubscriberIdException",release-4.0.0,13,4,2,0,0,3,0,4,3.0,4.0,6.339850002884625,0.0,0.0,0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol",release-4.0.0,6362,40,5,0,2,135,77,199,137.0,276.0,1959.0568548971055,1.474074074074074,2887.7949194409184,0,1,0,0,0,42,43,2,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java/,"org.apache.bookkeeper.meta.LedgerManager.GarbageCollector",release-4.0.0,9,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java/,"org.apache.hedwig.server.handlers.Handler",release-4.0.0,14,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java/,"org.apache.bookkeeper.proto.PerChannelBookieClient.ReadCompletion",release-4.0.0,9,3,1,0,1,2,2,2,3.0,4.0,6.339850002884625,0.5,3.1699250014423126,0,0,0,0,0,0,0,9,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java/,"org.apache.bookkeeper.meta.LedgerManager",release-4.0.0,109,0,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.PublishRequest.Builder",release-4.0.0,160,102,35,13,5,40,23,119,45.0,142.0,779.8431396788138,7.4375,5800.083351361178,3,0,1,1,0,2,4,2,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/,"org.apache.bookkeeper.client.BookKeeperAdmin",release-4.0.0,672,182,35,22,9,153,58,428,162.0,486.0,3567.1671014019275,12.588235294117647,44904.33880588309,2,1,1,1,0,22,25,6,0,no,yes
